date,f1,f2,f3,f4,f5,f6,predict,actual,bias
2026-03-16,52.8,77.73,86.8,1.47,45.45,50.0,52.38,,
2026-03-17,66.0,55.47,83.6,1.6,41.67,50.0,49.72,,
2026-03-18,64.8,29.33,84.93,0.8,38.46,50.0,44.72,,
2026-03-19,50.27,43.47,79.07,1.6,35.71,50.0,43.35,,
2026-03-20,50.4,44.4,78.4,1.87,33.33,50.0,43.07,,
2026-03-23,20.27,80.53,65.33,2.53,31.25,50.0,41.65,,
2026-03-24,18.13,35.47,72.13,0.8,29.41,50.0,34.32,,
2026-03-25,14.67,42.67,77.07,0.93,27.78,50.0,35.52,,
2026-03-26,12.8,7.73,72.13,1.87,26.32,50.0,28.47,,
2026-03-27,12.27,2.4,74.53,2.93,25.0,50.0,27.86,,
2026-03-30,12.67,9.47,73.47,2.4,25.0,50.0,28.83,,
